$$,Id_pregunta,Pregunta,Puntaje,reg_status,created_by,created_date,last_update_by,last_update_date,id_pregunta_tipo,id_habilidad,Id_sub_habilidad,id_insignia,&&
$$,530,Ahora que has practicado la identificación de las estrofas[00] versos y metáforas en el poema[00] has observado que es un método muy particular de expresión. Por medio de los poemas[00] las personas pueden representar sentimientos[00] emociones e incluso expresiones corporales[00] lo anterior siempre con ayuda de la metáfora. ¿En algún momento has expresado alguna emoción[00] sentimiento o experiencia utilizando la metáfora?\n\n10. A continuación[00] utilizarás una metáfora. Para ello[00] escribe un mensaje para alguien a quien le expreses cómo te sientes el día de hoy y por qué te sientes así. Intercambien sus mensajes y reescríbanlos en una estrofa. Recuerden que la metáfora será el componente principal.,1,activo,developer,2021-12-31,developer,2021-12-31,2,8,41,1,&&
$$,540,La flexibilidad entendida como una apertura natural al cambio es una gran herramienta que nos permitirá integrar cosas nuevas a nuestra vida sin tantos problemas. Con esta misma apertura[00] los científicos que buscaban materiales que fueran amigables con el medio ambiente y más económicos lograron descubrir el grafeno y sus ventajas.\n\n10. Ahora[00] recuerda alguna ocasión en la que una actitud flexible y de apertura te haya llevado a descubrir algo interesante sobre ti o sobre otras personas. Escríbelo.,1,activo,developer,2022-01-01,developer,2022-01-01,2,1,13,1,&&
$$,550,Nuestras emociones no sólo son una poderosa herramienta para experimentar el mundo desde diferentes ángulos[00] también son el puente que nos permitirá conectar con la manera en la que otros entienden e interpretan el mundo. Este proceso de conexión y reconocimiento empieza identificando nuestras propias emociones[00] es decir lo que se define como autoconocimiento.\n\n10. ¿Qué emoción experimentaste cuando[00] al final del texto[00] C-Sar abraza a Rebe-K y le dice “vas a necesitar un técnico que repare tu traje”? ¿Cómo le describirías a alguien lo que la emoción te hizo sentir? Escríbelo.,1,activo,developer,2022-01-02,developer,2022-01-02,2,5,21,1,&&
$$,560,Cuando una tarea nos parece sencilla[00] la impulsividad y el deseo de concluirla rápido pueden llevarnos a cometer distintos errores que terminen complicando las cosas innecesariamente. Lo mejor es tomarnos el tiempo necesario para realizar toda actividad con atención.\n\n10. Imagina que vienes de un futuro donde un procedimiento resultó muy mal porque llenaste un formulario distraídamente y con prisas. ¿Qué consejos le darías a tu yo del pasado para que logre controlar esta impaciencia que le resultará tan mal a la larga?\nRecuerda que cuentas con la herramienta de las prácticas guiadas para responder a esta pregunta. ,1,activo,developer,2022-01-03,developer,2022-01-03,2,1,15,1,&&
$$,570,Cuando un profesor responsable enseña un tema nuevo[00] prepara una actividad o deja una tarea[00] lo hace a partir de una gran tradición de docentes[00] psicólogos y otros especialistas[00] que son una referencia de su práctica educativa o que influyeron en el sistema educativo en el que él enseña. Hay[00] entonces[00] métodos para el profesor[00] pero ¿hay métodos para el alumno? ¿Te has preguntado si todos aprendemos del mismo modo? ¿Por qué a algunos les gusta más dibujar y a otros escribir? \nAunque para nuestros profesores es importante saber cómo aprendemos mejor[00] también nosotros podemos reflexionar sobre lo que nos gusta hacer[00] lo que se nos complica más o lo que nos deja más cansados durante las horas de clase[00] es decir conocer tu estilo de aprendizaje.\n\n10. Pregunta a tus familiares o amigos qué asignaturas escolares les gustan más y cuáles les causan mayor dificultad. Después[00] haz tu propia lista incluyendo tus estrategias de aprendizaje. ¿Qué similitudes y diferencias encuentras? Escríbelas.,1,activo,developer,2022-01-04,developer,2022-01-04,2,5,22,1,&&
$$,580,Ahora que ya tienes mayor claridad en lo que a nivel micro puedes realizar para ayudar al medio ambiente y tu ecosistema[00] es hora de ponerlo en práctica. Piensa en tu localidad e identifica alguna necesidad ambiental que tenga. Puede ser exceso de basura en las calles[00] falta de áreas verdes[00] desechos de mascotas[00] etcétera.\n\n10. A continuación[00] escribe lo que requiere tu colegio o comunidad para cuidar el ambiente. La descripción debe incluir una propuesta de acción en la que tú y tu colegio o localidad puedan participar de forma colaborativa para dar solución a la necesidad que detectaste.\n,1,activo,developer,2022-01-05,developer,2022-01-05,2,54,57,1,&&
$$,590,Después de leer este texto[00] ¿crees que alguna vez las redes sociales te han hecho creer que necesitabas algo que en realidad no? Cuando navegamos en la red[00] somos muy vulnerables. Muchas empresas con grandes intereses tratan de manipularnos a través de la información y los anuncios que nos hacen llegar. Por eso[00] es importante ser personas reflexivas y pensar muy bien si realmente queremos o no algo[00] si necesitamos o no las cosas que nos anuncian y no dejarnos llevar de forma impulsiva.\n\n10.  Escribe tres estrategia que puedes implementar respecto a cómo hacer uso de las redes sociales para evitar (o[00] al menos[00] disminuir) la manipulación que ejercen sobre nosotros.,1,activo,developer,2022-01-06,developer,2022-01-06,2,1,15,1,&&
$$,610,La lectura conlleva elementos de importancia mundial[00] por lo que es nuestro deber[00] como parte de la sociedad[00] fomentar y preservar las tradiciones orales. Sólo de esta forma mantendremos vivo el conocimiento de nuestras generaciones ancestrales. Por ejemplo[00] podríamos aprender sobre el vínculo de los humanos con la naturaleza. Pues[00] con el avance de la industria y la tecnología[00] cada vez hay más contaminación y menos relación del humano con su entorno natural. ¿Te has preguntado cómo era la vida de las personas mayores antes de que la tecnología fuera tan avanzada?\n\n10. Pregunta a una persona mayor cómo era su relación con la naturaleza en su infancia[00] cuáles son las cosas que más le gustaba hacer al aire libre y si tendría algún consejo para estar en armonía con el medio ambiente. No te olvides de practicar la escucha atenta. A continuación[00] escribe lo que recuerdes de la conversación.,1,activo,developer,2022-01-07,developer,2022-01-07,2,8,42,1,&&
$$,620,Para reconocer las emociones en otras personas[00] tenemos que comenzar por reconocerlas en nosotros mismos[00] porque no podríamos identificar estados de ánimo que nos resultaran completamente ajenos.\n\n10. ¿Qué emociones crees que pudo haber experimentado la mamá de Pedro al saber que el bienestar de su familia y de su comunidad estaban en peligro? Escribe qué emociones sentirías tú y cómo se sentirían en tu cuerpo.,1,activo,developer,2022-01-08,developer,2022-01-08,2,8,41,1,&&
$$,630,Ya hemos hablado de la capacidad de utilizar nuestras propias emociones para tender puentes hacia las demás personas. Conectar con nuestro propio dolor nos puede ayudar a crear puentes de empatía[00] cariño y cuidado hacia los demás.\n\n10. Reflexiona cómo te sentirías si hubieras estado en la situación de Alan Turing[00] quien[00] después de haber hecho una gran aportación a la humanidad[00] fue despreciado y juzgado por su preferencia sexual. Si pudieras hablar con él[00] ¿qué le dirías? Escríbelo a continuación.,1,activo,developer,2022-01-09,developer,2022-01-09,2,8,41,1,&&
$$,41,1. ¿Cómo está organizado el documento[00] de acuerdo con su estructura?,1,activo,developer,2022-01-10,developer,2022-01-10,1,43,44,1,&&
$$,42,2. ¿Qué tipo de documento es éste?,1,activo,developer,2022-01-11,developer,2022-01-11,1,43,44,1,&&
$$,43,3. ¿Para qué sirve este tipo de documento?,1,activo,developer,2022-01-12,developer,2022-01-12,1,9,49,1,&&
$$,44,4. ¿Cuál es el motivo principal de esta convocatoria?,1,activo,developer,2022-01-13,developer,2022-01-13,1,9,49,1,&&
$$,45,5. ¿Para qué colocaron una dirección electrónica en la convocatoria?,1,activo,developer,2022-01-14,developer,2022-01-14,1,9,48,1,&&
$$,46,6. ¿En cuál de los casos emplearías una convocatoria?,1,activo,developer,2022-01-15,developer,2022-01-15,1,9,49,1,&&
$$,47,7. Según el encabezado[00] ¿cuál es la intención de la convocatoria?,1,activo,developer,2022-01-16,developer,2022-01-16,1,9,52,1,&&
$$,48,8. ¿En qué sección de la convocatoria se indican las características que deben poseer los fotografías? ,1,activo,developer,2022-01-17,developer,2022-01-17,1,7,35,1,&&
$$,49,9. De acuerdo con la información del texto que leíste[00] ¿cuáles elementos de la siguiente lista te permitirían comprender claramente las instrucciones que encuentres en algún texto? Selecciona las cuatro afirmaciones correctas.\na. Realizar una lectura rápida y general del texto.\nb. Leer detenidamente las instrucciones o pasos.\nc. Tener la mente despejada y concentrarme en lo que vas a revisar.\nd. Realizar otra actividad mientras revisas las instrucciones.\ne. Tener claridad del objetivo al que quieres llegar.\nf. Comenzar a leer las instrucciones hasta donde consideres interesante.\ng. Prestar atención a elementos como fotografías e imágenes dentro de las instrucciones.\nh. Guiarte únicamente por las imágenes de las instrucciones.\n,1,activo,developer,2022-01-18,developer,2022-01-18,1,2,18,1,&&
$$,51,1. Lee nuevamente el primer párrafo del texto. ¿A qué se refiere este pronombre resaltado en negritas?: “Para cubrirlas”. ,1,activo,developer,2022-01-19,developer,2022-01-19,1,10,61,1,&&
$$,52,2. ¿En cuál de estas oraciones hay un complemento circunstancial?,1,activo,developer,2022-01-20,developer,2022-01-20,1,10,60,1,&&
$$,54,4. Analiza la oración: \n\n“El principal inconveniente de la basura electrónica es el de las baterías[00] que comúnmente están compuestas de litio”.\n\n¿Qué oración tiene el mismo significado? Fíjate en las palabras resaltadas en negritas.,1,activo,developer,2022-01-21,developer,2022-01-21,1,10,61,1,&&
$$,55,5. Vuelve a leer el último párrafo del texto. Identifica la palabra con la que podrías sustituir a la que está resaltada en negritas:\n\nBusca alguna y mide la huella ecológica de lo que consumes.,1,activo,developer,2022-01-22,developer,2022-01-22,1,10,61,1,&&
$$,56,6. ¿Por qué es importante saber qué es el consumismo?,1,activo,developer,2022-01-23,developer,2022-01-23,1,11,62,1,&&
$$,57,7. En el quinto párrafo[00] el texto señala una razón por la que la gente puede comprar cosas que no necesita. ¿Cuál es otra forma de plantear esta razón?,1,activo,developer,2022-01-24,developer,2022-01-24,1,9,49,1,&&
$$,58,8. Piensa en un hábito que tú y tu familia lleven a cabo para reducir la generación de desechos en tu casa[00] por ejemplo[00] poner las compras en bolsas de tela. ¿En cuál de las secciones del texto sería adecuado añadir la descripción de este hábito? ,1,activo,developer,2022-01-25,developer,2022-01-25,1,26,29,1,&&
$$,63,3. Observa las imágenes y selecciona aquella en la que estén elaborando una artesanía.,1,activo,developer,2022-01-26,developer,2022-01-26,1,11,63,1,&&
$$,64,4. Elige la idea principal del texto.,1,activo,developer,2022-01-27,developer,2022-01-27,1,9,47,1,&&
$$,65,5. ¿Por qué una artesanía es considerada patrimonio cultural de la humanidad?,1,activo,developer,2022-01-28,developer,2022-01-28,1,9,47,1,&&
$$,66,6. Pasa rápidamente la vista por el siguiente texto. No se vale leer detenidamente. ¿Cuántas veces se repite la palabra artesanía? incluyendo el título.\n\nLa artesanía y su clasificación\n\nEl objeto artesanal cumple una función utilitaria o decorativa y[00] en algunos casos[00] tiende a adquirir carácter de obra de arte. La artesanía se puede clasificar en: artesanía indígena[00] artesanía tradicional popular[00] artesanía contemporánea o neoartesanía.\n\nFuente: Artesanías de Colombia[00] S. A. (s. f.) La artesanía y su clasificación. Tomado para fines educativos de: https://artesaniasdecolombia.com.co/PortalAC/C_sector/la-artesania-y-su-clasificacion_82,1,activo,developer,2022-01-29,developer,2022-01-29,1,11,63,1,&&
$$,68,8. ¿Por qué es importante que las personas conozcan el origen de las artesanías?   ,1,activo,developer,2022-01-30,developer,2022-01-30,1,7,36,1,&&
$$,71,1. ¿Cuál es la oración que tiene un verbo en modo subjuntivo[00] conjugado en segunda persona?,1,activo,developer,2022-01-31,developer,2022-01-31,1,10,59,1,&&
$$,72,2. ¿Cuántas escenas tiene la obra?,1,activo,developer,2022-02-01,developer,2022-02-01,1,11,64,1,&&
$$,73,3. Para Sofía[00] ¿qué significa compartir el almuerzo?,1,activo,developer,2022-02-02,developer,2022-02-02,1,9,48,1,&&
$$,74,4. Lee el diálogo entre Amelia y Sofía[00] y elige cuál es el mensaje que intenta transmitir. \n\nAMELIA. ¿Con quién hablas?\n\nSOFÍA. (Apenada) ¡Eh! ¡No! ¡Con nadie!\n\nAMELIA. ¿Con Fátima?\n\nSOFÍA. ¡No[00] cómo crees! Si ella ya se fue.\n\nAMELIA. ¿Y no la extrañas? Yo siempre las veía juntas.\n\nSOFÍA. No[00] no la extraño. Estoy bien sola.\n\nAMELIA. ¿No te aburre estar sola?\n\nSOFÍA. No[00] para nada.,1,activo,developer,2022-02-03,developer,2022-02-03,1,9,49,1,&&
$$,75,5. ¿Cómo es Amelia? ,1,activo,developer,2022-02-04,developer,2022-02-04,1,9,52,1,&&
$$,77,7. ¿Cuál es la verdadera razón por la que Sofía no le contesta a Fátima cuando ésta se despide?,1,activo,developer,2022-02-05,developer,2022-02-05,1,9,52,1,&&
$$,78,8. Imagina que esta obra de teatro es un cuento. ¿Cuál de las siguientes Opciónes refleja correctamente lo que sucede al inicio del Acto 2?,1,activo,developer,2022-02-06,developer,2022-02-06,1,6,25,1,&&
$$,81,1. Elige la respuesta que describa lo que es un manual.,1,activo,developer,2022-02-07,developer,2022-02-07,1,26,31,1,&&
$$,82,2. ¿Qué son las fake news?,1,activo,developer,2022-02-08,developer,2022-02-08,1,11,63,1,&&
$$,84,4. Elige la respuesta que explique por qué es una desventaja que exista mucha información en internet.,1,activo,developer,2022-02-09,developer,2022-02-09,1,7,33,1,&&
$$,87,7. En la búsqueda de información sobre los osos polares[00] te encuentras con información de distintas fuentes. Elige en cuál deberías confiar más.,1,activo,developer,2022-02-10,developer,2022-02-10,1,7,33,1,&&
$$,88,8. En los pasados juegos olímpicos Tokio 2021[00] a tu amiga le ha llamado la atención un deporte llamado tiro con arco. A ella le gustaría saber más acerca de él y ha decidido buscar información en internet ¿Qué recomendación le darías para que realice su búsqueda? ,1,activo,developer,2022-02-11,developer,2022-02-11,1,7,33,1,&&
$$,91,1. Lee el siguiente texto y selecciona qué teoría describe.\n\nCuando se tiene un conjunto muy grande[00] se obtienen por necesidad subconjuntos que cuentan con elementos de características similares entre ellos.,1,activo,developer,2022-02-12,developer,2022-02-12,1,9,48,1,&&
$$,94,4. Elige la respuesta que explique qué es un grafo.,1,activo,developer,2022-02-13,developer,2022-02-13,1,9,48,1,&&
$$,95,5. Elige la respuesta que menciona el número correcto de aristas y vértices que tiene la siguiente imagen.\n\n[CL_G6_B1_S08_IC36_E2_La Teoría de Ramsey en ejemplos_06: Pentágono unido de todos sus vértices formando una estrella.],1,activo,developer,2022-02-14,developer,2022-02-14,1,9,48,1,&&
$$,96,6. ¿La imagen personifica la teoría de grafos? ¿Por qué?\n\n[CL_G6_B1_S08_IC36_E2_La Teoría de Ramsey en ejemplos_07: Árbol genealógico],1,activo,developer,2022-02-15,developer,2022-02-15,1,9,49,1,&&
$$,97,7. Según la teoría de grafos[00] ¿en qué imagen se representa la información que a continuación leerás de manera clara y sencilla? En dónde R (3[00] 3) = 6\n\nLuna[00] Pedro y Víctor son amigos. Además[00] Pedro es amigo de Ana y Alma. Alma lo es de Víctor. Víctor[00] a su vez[00] también es amigo de Eduardo. Ana es amiga de Luna y Luna de Eduardo. Ana[00] Alma y Eduardo no son amigos.,1,activo,developer,2022-02-16,developer,2022-02-16,1,9,49,1,&&
$$,98,8. ¿Qué da a entender la teoría de Ramsey?,1,activo,developer,2022-02-17,developer,2022-02-17,1,9,52,1,&&
$$,101,1. Lee las cuatro oraciones que son parte del texto y elige la que contiene un verbo conjugado en segunda persona del singular[00] tiempo pospretérito[00] modo indicativo.,1,activo,developer,2022-02-18,developer,2022-02-18,1,10,59,1,&&
$$,102,2. Si sólo observas la primera ilustración de la lectura[00] ¿cuál pensarías que es el tema principal de la lectura?,1,activo,developer,2022-02-19,developer,2022-02-19,1,11,64,1,&&
$$,103,3. Elige la opción que explique por qué se determinó que Plutón no es un planeta.,1,activo,developer,2022-02-20,developer,2022-02-20,1,9,48,1,&&
$$,104,4. ¿Qué demuestran el caso de Brahe y Kepler[00] y el caso de Plutón? Elige la conclusión adecuada.,1,activo,developer,2022-02-21,developer,2022-02-21,1,9,50,1,&&
$$,105,5. Lee la parte final del texto e identifica qué recurso se utiliza. Luego[00] selecciona la opción correcta.,1,activo,developer,2022-02-22,developer,2022-02-22,1,7,36,1,&&
$$,106,6. Selecciona el aprendizaje previo que te permite anticipar la decisión que tomó la comunidad científica con respecto a la clasificación de Plutón.,1,activo,developer,2022-02-23,developer,2022-02-23,1,26,31,1,&&
$$,107,7. ¿Qué ejemplo demuestra que las palabras pueden modificar la realidad?,1,activo,developer,2022-02-24,developer,2022-02-24,1,26,31,1,&&
$$,109,9. De acuerdo con el texto[00] elige la respuesta que explique por qué sería importante elegir cuidadosa y conscientemente las palabras que utilizas.,1,activo,developer,2022-02-25,developer,2022-02-25,1,2,18,1,&&
$$,111,1. ¿Cuál de los siguientes textos expresa una idea secundaria de la lectura El equilibrio de Nash?,1,activo,developer,2022-02-26,developer,2022-02-26,1,9,47,1,&&
$$,112,2. ¿Recuerdas quién es John Nash?,1,activo,developer,2022-02-27,developer,2022-02-27,1,9,48,1,&&
$$,113,3. Según las ideas secundarias subrayadas en el texto[00] ¿cuál sería la idea principal que están complementando?\n\n[CL_G6_13_S10_IC34_E2_El equilibrio de Nash_03: Dona en una báscula que refleje un peso de 58 gramos].\nHubo un tiempo en que las matemáticas me parecían muy aburridas. No veía el caso de aprenderlas[00] hasta que quise ser chef repostera. Ahí me di cuenta de que las matemáticas son muy importantes para la profesión y la vida diaria. Por ejemplo[00] cuando voy a comprar los ingredientes para los pasteles y postres o cuando necesito saber cuánto cobrar[00] es importante saber sumar[00] restar[00] multiplicar o dividir. También son indispensables para pesar ingredientes[00] pues debo ser precisa en las cantidades que uso para que no queden azucaradas o desabridas. Así mismo[00] uso los números al hornear[00] porque[00] dependiendo de la cantidad de mis masas o líquidos[00] será el tiempo de cocción. Si meto un pastel de 2 kilos al horno durante 10 minutos[00] no se cocerá[00] pero si lo hago durante 2 horas[00] se quemará. \nAhora me doy cuenta de que las matemáticas no son malas. Ésta es mi experiencia con las matemáticas. ¿En qué otras áreas se aplican las matemáticas? ¿Para qué otras profesiones pueden servir? ¿Cómo ayudan en la vida diaria?,1,activo,developer,2022-02-28,developer,2022-02-28,1,9,47,1,&&
$$,114,4. ¿Qué aportan las ideas secundarias a las ideas principales?,1,activo,developer,2022-03-01,developer,2022-03-01,1,9,47,1,&&
$$,117,7. Según el texto[00] ¿qué estudia la Teoría de Juegos?,1,activo,developer,2022-03-02,developer,2022-03-02,1,9,52,1,&&
$$,119,9. Con ayuda de cálculos matemáticos[00] la Teoría de Juegos propone una definición para este proceso. Elige las palabras que completen correctamente la definición.\n\nToda aquella situación en la que ________ interactúan[00] donde las ________ de cada jugador son resultado de lo que espera que los otros hagan.,1,activo,developer,2022-03-03,developer,2022-03-03,1,4,19,1,&&
$$,121,1. Lee la oración e identifica a qué se refieren las expresiones resaltadas.\n\nEl asunto es tan importante que la Organización de las Naciones Unidad cuenta con una dependencia que se encarga de ello.,1,activo,developer,2022-03-04,developer,2022-03-04,1,10,61,1,&&
$$,122,2. Lee los resúmenes y elige el que proporciona una idea general de lo que trata el texto.,1,activo,developer,2022-03-05,developer,2022-03-05,1,11,62,1,&&
$$,123,3. Selecciona los conceptos que se relacionan con el tema de la lectura. \n\na. Hacer ejercicio\nb. Organización Mundial de la Salud\nc. Proteína vegetal\nd. Alimentación nutritiva\ne. Desórdenes alimenticios\nf. Escasez de lluvias\ng. Plantas andinas\n,1,activo,developer,2022-03-06,developer,2022-03-06,1,11,62,1,&&
$$,125,5. Elige el enunciado que ejemplifique la falta de seguridad alimentaria.,1,activo,developer,2022-03-07,developer,2022-03-07,1,9,49,1,&&
$$,127,7. Elige la opción que explique por qué la información contenida en el texto es confiable.,1,activo,developer,2022-03-08,developer,2022-03-08,1,7,37,1,&&
$$,128,8. ¿Por qué el lema fiat panis resulta adecuado en el escudo de la FAO?,1,activo,developer,2022-03-09,developer,2022-03-09,1,26,29,1,&&
$$,131,1. Analiza las Opciónes que contienen las primeras y las últimas oraciones de diferentes párrafos del texto La música y los festivales de hoy. Elige aquella que forme parte del último párrafo del texto.,1,activo,developer,2022-03-10,developer,2022-03-10,1,11,64,1,&&
$$,132,2. Lee el nombre de los festivales y elige la opción que incluya los que se mencionaron en la lectura.\n\na. Tomorrowland\nb. Universal\nc. Glastonburry\nd. Ultra Music\ne. Electric Sound\nf. Musicland\ng. Awakenings\nh. Sónar\ni. Dream Music,1,activo,developer,2022-03-11,developer,2022-03-11,1,11,64,1,&&
$$,134,4. Elige la opción que contenga el nombre de la persona que reproduce[00] mezcla y crea música con diferentes efectos y sonidos[00] a partir de música existente.,1,activo,developer,2022-03-12,developer,2022-03-12,1,6,23,1,&&
$$,135,5. ¿Por qué los críticos especializados creen que la música electrónica no es un arte?,1,activo,developer,2022-03-13,developer,2022-03-13,1,9,52,1,&&
$$,136,6. Observa los mapas y elige aquel en donde estén señalados los países en los que[00] según el texto[00] se realizan los mejores festivales del mundo.,1,activo,developer,2022-03-14,developer,2022-03-14,1,6,23,1,&&
$$,137,7. Elige la ilustración que muestre el escenario que utilizan los DJ[00] según el texto.,1,activo,developer,2022-03-15,developer,2022-03-15,1,9,52,1,&&
$$,138,8. Elige la opción que describa el propósito del texto.,1,activo,developer,2022-03-16,developer,2022-03-16,1,6,25,1,&&
$$,139,9. En función de la lectura[00] elige la opción que contiene las características principales de los festivales de música electrónica:,1,activo,developer,2022-03-17,developer,2022-03-17,1,4,19,1,&&
$$,144,4. ¿Sobre qué tema crees que haga referencia el autor en su relato?,1,activo,developer,2022-03-18,developer,2022-03-18,1,9,52,1,&&
$$,145,5. ¿Por qué crees que el autor se refiere al Día de Muertos en su relato?,1,activo,developer,2022-03-19,developer,2022-03-19,1,9,52,1,&&
$$,146,6. Observa las imágenes e identifica la que representa el altar mexicano del Día de Muertos.,1,activo,developer,2022-03-20,developer,2022-03-20,1,9,49,1,&&
$$,147,7. ¿Recuerdas cuándo se celebra el Día de Muertos en México?,1,activo,developer,2022-03-21,developer,2022-03-21,1,26,27,1,&&
$$,148,8. ¿Qué película de la lista se relaciona con el texto que leíste? ,1,activo,developer,2022-03-22,developer,2022-03-22,1,26,29,1,&&
$$,151,1. Basándote en su disposición gráfica[00] ¿qué tipo de información contiene este texto?,1,activo,developer,2022-03-23,developer,2022-03-23,1,43,46,1,&&
$$,152,2. Elige la sección que muestra un proceso.,1,activo,developer,2022-03-24,developer,2022-03-24,1,43,45,1,&&
$$,153,3. Por lo que se observa de la infografía[00] ¿qué significa el prefijo hidro-?,1,activo,developer,2022-03-25,developer,2022-03-25,1,43,45,1,&&
$$,155,5. ¿Por qué es pertinente conocer los datos que expone la infografía?,1,activo,developer,2022-03-26,developer,2022-03-26,1,7,33,1,&&
$$,156,6. ¿A qué se refiere el texto con “uso doméstico” del agua?,1,activo,developer,2022-03-27,developer,2022-03-27,1,26,29,1,&&
$$,158,8. ¿Qué sección se relaciona con la biodiversidad?,1,activo,developer,2022-03-28,developer,2022-03-28,1,26,29,1,&&
$$,163,3. Estos elementos son reflejo de la lengua de una sociedad: ________,1,activo,developer,2022-03-29,developer,2022-03-29,1,9,49,1,&&
$$,164,4. Lee lo siguiente:\n\nEspaña–tío \nMéxico–cuate\nPerú–pata\nVenezuela–pana\nColombia–parcero\n\nAsí es como en cada país se dice ________.,1,activo,developer,2022-03-30,developer,2022-03-30,1,26,29,1,&&
$$,165,5. Sticker es un extranjerismo. Elige la traducción correcta. ,1,activo,developer,2022-03-31,developer,2022-03-31,1,9,49,1,&&
$$,166,6. ¿El texto tiene imágenes? ¿Para qué crees que sirvan?,1,activo,developer,2022-04-01,developer,2022-04-01,1,7,36,1,&&
$$,167,7. ¿El título del texto se relaciona con el contenido? ¿Por qué?,1,activo,developer,2022-04-02,developer,2022-04-02,1,7,36,1,&&
$$,168,8. ¿Qué finalidad tiene el contenido del texto leído?,1,activo,developer,2022-04-03,developer,2022-04-03,1,7,33,1,&&
$$,171,1. Señala la opción en donde está subrayado el complemento de objeto directo de la oración.,1,activo,developer,2022-04-04,developer,2022-04-04,1,10,60,1,&&
$$,172,2. ¿Qué es la tetrodoxina?,1,activo,developer,2022-04-05,developer,2022-04-05,1,11,63,1,&&
$$,173,3. ¿Qué profesión tiene Kong? ,1,activo,developer,2022-04-06,developer,2022-04-06,1,9,49,1,&&
$$,174,4. ¿En qué se parece el hongo Cordy al pez globo? ,1,activo,developer,2022-04-07,developer,2022-04-07,1,9,50,1,&&
$$,175,5. ¿Qué tienen en común el hongo Cordy y el hechicero de las películas de zombis?,1,activo,developer,2022-04-08,developer,2022-04-08,1,9,50,1,&&
$$,176,6. ¿Cómo puede Kong identificar las hormigas infectadas de las sanas?,1,activo,developer,2022-04-09,developer,2022-04-09,1,9,50,1,&&
$$,177,7. Las personas intoxicadas por tetrodoxina no son verdaderos zombis porque:,1,activo,developer,2022-04-10,developer,2022-04-10,1,9,50,1,&&
$$,178,8. ¿Cómo sabes que este texto es un cuento?,1,activo,developer,2022-04-11,developer,2022-04-11,1,7,36,1,&&
$$,179,9. ¿Cuál de los siguientes enunciados describe la idea principal del texto?,1,activo,developer,2022-04-12,developer,2022-04-12,1,4,19,1,&&
$$,181,1. De acuerdo con el texto que leíste[00] ¿cuáles son los tres estados del agua?,1,activo,developer,2022-04-13,developer,2022-04-13,1,9,49,1,&&
$$,182,2. El agua es básica en la vida de los seres humanos. Algunos de los usos del agua en el hogar son:,1,activo,developer,2022-04-14,developer,2022-04-14,1,9,49,1,&&
$$,184,4. ¿Cuáles son los dos elementos que forman el agua?,1,activo,developer,2022-04-15,developer,2022-04-15,1,9,48,1,&&
$$,185,5. De acuerdo con el texto[00] el agua puede desafiar la gravedad. ¿Cuál es la facultad de la capilaridad en las plantas?,1,activo,developer,2022-04-16,developer,2022-04-16,1,9,48,1,&&
$$,186,6. De toda el agua disponible en la Tierra[00] existe un porcentaje específico para el consumo humano. La cifra correcta es:,1,activo,developer,2022-04-17,developer,2022-04-17,1,9,48,1,&&
$$,187,7. Se ha descubierto la existencia de agua en otros lugares en el espacio[00] entre ellos: ,1,activo,developer,2022-04-18,developer,2022-04-18,1,9,48,1,&&
$$,188,8. El propósito del texto que leíste es:,1,activo,developer,2022-04-19,developer,2022-04-19,1,11,62,1,&&
$$,191,1. Según el texto[00] ¿qué es el rol de género?,1,activo,developer,2022-04-20,developer,2022-04-20,1,9,48,1,&&
$$,192,2. ¿Qué es la igualdad de género?,1,activo,developer,2022-04-21,developer,2022-04-21,1,9,52,1,&&
$$,194,4. De los siguientes párrafos[00] ¿cuál representa un texto de contraste?,1,activo,developer,2022-04-22,developer,2022-04-22,1,9,51,1,&&
$$,201,1. ¿En qué clase quería participar Fercho?,1,activo,developer,2022-04-23,developer,2022-04-23,1,9,53,1,&&
$$,204,4. Selecciona la opción que muestre el instrumento que eligió Fercho.,1,activo,developer,2022-04-24,developer,2022-04-24,1,11,62,1,&&
$$,205,5. Selecciona la opción que describa lo que pasó cuando el profesor le mostró a Fercho cómo tocar la batería.,1,activo,developer,2022-04-25,developer,2022-04-25,1,11,62,1,&&
$$,206,6. Elige la respuesta que explique qué es el ritmo.,1,activo,developer,2022-04-26,developer,2022-04-26,1,6,23,1,&&
$$,207,7. Reflexiona sobre la acción del profesor y elige qué valor puso en práctica al aceptar a Fercho en su clase.,1,activo,developer,2022-04-27,developer,2022-04-27,1,6,23,1,&&
$$,208,8. Elige el mensaje que da el autor con el texto.,1,activo,developer,2022-04-28,developer,2022-04-28,1,11,62,1,&&
$$,211,1. ¿Cómo se llama el personaje principal de la historia?,1,activo,developer,2022-04-29,developer,2022-04-29,1,11,64,1,&&
$$,214,4. Lee la oración y elige la opción que defina correctamente la palabra subrayada.\n\nLa ciudad de Ligum estaba construida con maderas perennes.,1,activo,developer,2022-04-30,developer,2022-04-30,1,11,62,1,&&
$$,215,5. Elige el continente en el que fue hallada la ciudad de las maderas eternas.,1,activo,developer,2022-05-01,developer,2022-05-01,1,11,63,1,&&
$$,217,7. Después de mucho esfuerzo[00] Sofía localizó rastros de una construcción antigua. ¿Cómo confirmó que había encontrado la ciudad de las maderas inmortales?,1,activo,developer,2022-05-02,developer,2022-05-02,1,11,62,1,&&
